Component / Material,Quantity (incl. spares),Reference / Purchase Link,What it’s used for
EMG Sensor Module (high-quality wearable),2,https://store.upsidedownlabs.tech,"Core biosignal sensor; detects muscle activation (EMG) from limited hand/arm movement for control input"
Reference cable / snap-electrode cable,1,Included with BioAmp Patch kit,"Provides stable electrical reference to reduce EMG noise and baseline drift"
Snap gel electrodes,21,https://store.upsidedownlabs.tech,"Skin–electrode interface for reliable and comfortable EMG signal pickup"
Microcontroller (ESP32),2,https://robu.in,"Reads EMG and IMU data, processes signals, and sends control inputs to PC/game"
IMU #1 – 9-DOF (BNO055),1,https://robu.in,"Absolute orientation and gesture tracking for mapping arm/wrist motion to game controls"
IMU #2 – 6-DOF (MPU6050),1,https://robu.in,"Secondary motion sensing for redundancy, calibration, or multi-segment motion tracking"
USB Cable (A–B),2,https://robu.in,"Powers microcontroller and enables data transfer to computer"
Breadboard / prototyping board,2,https://robu.in,"Rapid prototyping and testing of signal conditioning and connections"
Jumper wires (Dupont),Lots,https://robu.in,"Electrical connections between sensors, microcontroller, and power rails"
Power bank,1,https://www.amazon.in,"Portable power source for untethered testing and use"
Resistors & capacitors (signal conditioning),Assorted,https://hubtronics.in,"Filtering, smoothing, and stabilizing noisy EMG signals"
Enclosure / mounting hardware,1,3D printed,"Protects electronics and improves wearability and durability"
TTL UART to USB converter,2,https://robu.in/product/cp-2102-6-pin/,"Serial communication, debugging, and firmware flashing"
USB-C to Micro-USB OTG adapter,1,https://www.amazon.in/dp/B09T3BLN5X,"Allows compatibility with modern USB-C laptops and devices"